Postal Code;City;Street
1717;Kobenhavn V;Skelbækgade
1718;Kobenhavn V;Sommerstedgade
1719;Kobenhavn V;Krusågade
1720;Kobenhavn V;Sonder Boulevard
1721;Kobenhavn V;Dybbolsgade
1722;Kobenhavn V;Godsbanegade
1723;Kobenhavn V;Letlandsgade
1724;Kobenhavn V;Estlandsgade
1725;Kobenhavn V;Esbern Snares Gade
1726;Kobenhavn V;Arkonagade
1727;Kobenhavn V;Asger Rygs Gade
1728;Kobenhavn V;Skjalm Hvides Gade
1729;Kobenhavn V;Sigerstedgade
1730;Kobenhavn V;Knud Lavards Gade
1731;Kobenhavn V;Erik Ejegods Gade
1732;Kobenhavn V;Bodilsgade
1733;Kobenhavn V;Palnatokesgade
1734;Kobenhavn V;Heilsgade
1735;Kobenhavn V;Roddinggade
1736;Kobenhavn V;Bevtoftgade
1737;Kobenhavn V;Bustrupgade
1738;Kobenhavn V;Stenderupgade
1739;Kobenhavn V;Enghave Passage
1748;Kobenhavn V;Kammasvej 2
1749;Kobenhavn V;Rahbeks Alle 3-15
1750;Kobenhavn V;Vesterfælledvej
1751;Kobenhavn V;Sundevedsgade
1752;Kobenhavn V;Tondergade
1753;Kobenhavn V;Ballumgade
1754;Kobenhavn V;Hedebygade
1755;Kobenhavn V;Mogeltondergade
1756;Kobenhavn V;Amerikavej
1757;Kobenhavn V;Trojborggade
1758;Kobenhavn V;Lyrskovgade
1759;Kobenhavn V;Rejsbygade
1760;Kobenhavn V;Ny Carlsberg Vej
1761;Kobenhavn V;Ejderstedgade
1762;Kobenhavn V;Slesvigsgade
1763;Kobenhavn V;Dannevirkegade
1764;Kobenhavn V;Alsgade
1765;Kobenhavn V;Angelgade
1766;Kobenhavn V;Slien
1770;Kobenhavn V;Carstensgade
1771;Kobenhavn V;Lundbyesgade
1772;Kobenhavn V;Ernst Meyers Gade
1773;Kobenhavn V;Bissensgade
1774;Kobenhavn V;Küchlersgade
1775;Kobenhavn V;Freundsgade
1777;Kobenhavn V;Jerichausgade
1778;Kobenhavn V;Pasteursvej
1780;Kobenhavn V;
1782;Kobenhavn V;Ufrankerede svarforsendelser
1784;Kobenhavn V;Gerdasgade 37
1785;Kobenhavn V;Rådhuspladsen 33 og 37
1786;Kobenhavn V;Vesterbrogade 8
1787;Kobenhavn V;H.C. Andersens Boulevard 18
1789;Kobenhavn V;H.C. Andersens Boulevard 12
1790;Kobenhavn V;
1795;Kobenhavn V;Gerdasgade 35-37
1799;Kobenhavn V;Vester Fælledvej 100
1800;Frederiksberg C;Vesterbrogade, fra 152 og 153
1801;Frederiksberg C;Rahbeks Alle 2-36 + 17-23
1802;Frederiksberg C;Halls Alle
1803;Frederiksberg C;Brondsteds Alle
1804;Frederiksberg C;Bakkegårds Alle
1805;Frederiksberg C;Kammasvej 1-3 + 4
1806;Frederiksberg C;Jacobys Alle
1807;Frederiksberg C;Schlegels Alle
1808;Frederiksberg C;Asmussens Alle
1809;Frederiksberg C;Frydendalsvej
1810;Frederiksberg C;Platanvej
1811;Frederiksberg C;Asgårdsvej
1812;Frederiksberg C;Kochsvej
1813;Frederiksberg C;Henrik Ibsens Vej
1814;Frederiksberg C;Carit Etlars Vej
1815;Frederiksberg C;Paludan Müllers Vej
1816;Frederiksberg C;Engtoftevej
1817;Frederiksberg C;Carl Bernhards Vej
1818;Frederiksberg C;Kingosgade 8-12 + 11-17
1819;Frederiksberg C;Værnedamsvej Ulige nr.
1820;Frederiksberg C;Frederiksberg Alle 15-65 + 2-104
1822;Frederiksberg C;Boyesgade Lige nr
1823;Frederiksberg C;Haveselskabetsvej
1824;Frederiksberg C;Sankt Thomas Alle
